wave	r
0.4	0.1209
0.44	0.1904
0.48	0.2685
0.52	0.3742
0.56	0.4906
0.6	0.6042
0.64	0.7056
0.68	0.7901
0.72	0.8529
0.76	0.8983
0.8	0.9303
0.84	0.9522
0.88	0.9674
0.92	0.9778
0.96	0.9846
1	0.9893
1.04	0.9925
1.08	0.9945
1.12	0.9959
1.16	0.9967
1.2	0.9973
1.24	0.9978
1.28	0.9981
1.32	0.9983
1.38	0.998
1.42	0.997
1.46	0.9957
1.5	0.9948
1.54	0.9953
1.58	0.9963
1.62	0.9967
1.66	0.9966
1.7	0.9956
1.74	0.995
1.78	0.995
1.82	0.9956
1.86	0.9955
1.9	0.9885
1.94	0.9781
1.98	0.9762
2.02	0.9776
2.06	0.9794
2.1	0.9797
2.14	0.9789
2.18	0.9756
2.22	0.9722
2.26	0.9684
2.3	0.9685
2.34	0.9712
2.38	0.9699
2.42	0.9653
2.46	0.9586
2.5	0.8903
