wave	n	k
0.400062204	1.786444621	0.015393567
0.400123951	1.790650187	0.015479265
0.400185718	1.786427841	0.015605797
0.400247504	1.785753228	0.015710344
0.400309308	1.786630552	0.015818294
0.400371132	1.787219277	0.015929324
0.400432975	1.787622322	0.015992233
0.400494837	1.787848616	0.016030295
0.400556718	1.787952787	0.016127161
0.400618619	1.788046394	0.016284711
0.400680538	1.78817589	0.016399519
0.400742477	1.788280125	0.016404238
0.400804434	1.788299691	0.016346597
0.400866411	1.788247898	0.016277358
0.400928407	1.788148173	0.016187572
0.400990422	1.787986392	0.016063533
0.401052457	1.787737803	0.015931137
0.40111451	1.787411921	0.015840951
0.401176583	1.787066282	0.015821543
0.401238675	1.786739934	0.015814825
0.401300787	1.786384225	0.015768972
0.401362917	1.785962841	0.015753209
0.401425067	1.78552409	0.015811655
0.401487236	1.785095461	0.015900702
0.401549424	1.784672355	0.016032792
0.401611631	1.784290505	0.016223425
0.401673858	1.7839991	0.01643266
0.401736104	1.783785425	0.016568639
0.40179837	1.783552987	0.016592703
0.401860654	1.783250312	0.016609394
0.401922958	1.782967424	0.01668855
0.401985282	1.782736343	0.016695245
0.402047624	1.782455742	0.016606318
0.402109986	1.782097791	0.016529126
0.402172368	1.781714927	0.016479158
0.402234768	1.78132059	0.016423028
0.402297188	1.780873203	0.016348319
0.402359628	1.780372946	0.016339342
0.402422086	1.779897683	0.016409289
0.402484565	1.779464012	0.01647208
0.402547062	1.779019626	0.016523558
0.402609579	1.778582566	0.016633846
0.402672116	1.778218825	0.016767414
0.402734672	1.777919519	0.016837015
0.402797247	1.777611434	0.016816572
0.402859842	1.777254421	0.016762701
0.402922456	1.776868824	0.016703915
0.40298509	1.776451819	0.016610075
0.403047743	1.775944932	0.016489997
0.403110415	1.775364578	0.016466406
0.403173107	1.774824552	0.016540235
0.403235819	1.774317757	0.016572948
0.40329855	1.773767035	0.016609266
0.403361301	1.773196054	0.016717043
0.403424071	1.772652171	0.016878878
0.403486861	1.772146338	0.017070931
0.40354967	1.771667468	0.01728114
0.403612499	1.771240097	0.017543808
0.403675347	1.770919451	0.017815943
0.403738215	1.770681232	0.017994411
0.403801103	1.770431776	0.018067685
0.40386401	1.770149076	0.018120393
0.403926937	1.769852765	0.018141163
0.403989883	1.7695163	0.018128856
0.404052849	1.769138699	0.018141947
0.404115835	1.76877182	0.018197783
0.40417884	1.768447171	0.018249973
0.404241865	1.768152618	0.018257741
0.40430491	1.76783686	0.018190727
0.404367974	1.767441678	0.018091044
0.404431058	1.766980019	0.018047291
0.404494162	1.766520899	0.018078006
0.404557285	1.766112422	0.018144683
0.404620428	1.765759882	0.018194505
0.404683591	1.765427596	0.018188435
0.404746773	1.765068114	0.018137024
0.404809975	1.764680217	0.018091057
0.404873197	1.764275418	0.018040034
0.404936439	1.763866228	0.018011571
0.4049997	1.763494396	0.017987429
0.405062981	1.763141355	0.01788597
