wave	n	k
270	1.726	2.75E-01
275	1.735	2.66E-01
280	1.742	2.55E-01
285	1.745	2.42E-01
290	1.745	2.33E-01
295	1.746	2.31E-01
300	1.753	2.17E-01
305	1.757	2.06E-01
310	1.760	1.96E-01
315	1.763	1.87E-01
320	1.764	1.78E-01
325	1.765	1.68E-01
330	1.766	1.59E-01
335	1.767	1.51E-01
340	1.767	1.43E-01
345	1.768	1.35E-01
350	1.770	1.27E-01
355	1.772	1.17E-01
360	1.771	1.06E-01
365	1.769	1.01E-01
370	1.767	9.59E-02
375	1.765	9.05E-02
380	1.764	8.54E-02
385	1.762	8.04E-02
390	1.761	7.56E-02
395	1.759	7.12E-02
400	1.758	6.71E-02
405	1.756	6.33E-02
410	1.754	5.98E-02
415	1.752	5.68E-02
420	1.750	5.43E-02
425	1.747	5.20E-02
430	1.744	4.98E-02
435	1.741	4.75E-02
440	1.738	4.51E-02
445	1.735	4.27E-02
450	1.732	4.03E-02
455	1.730	3.81E-02
460	1.727	3.60E-02
465	1.725	3.33E-02
470	1.722	3.16E-02
475	1.720	3.00E-02
480	1.719	2.85E-02
485	1.717	2.69E-02
490	1.715	2.52E-02
495	1.714	2.34E-02
500	1.713	2.15E-02
505	1.712	1.99E-02
510	1.711	1.85E-02
515	1.710	1.74E-02
520	1.709	1.63E-02
525	1.708	1.54E-02
530	1.706	1.44E-02
535	1.705	1.35E-02
540	1.704	1.25E-02
545	1.702	1.14E-02
550	1.700	1.03E-02
555	1.698	9.25E-03
560	1.696	8.30E-03
565	1.694	7.43E-03
570	1.692	6.62E-03
575	1.691	5.89E-03
580	1.689	5.11E-03
585	1.687	4.53E-03
590	1.685	4.04E-03
595	1.683	3.63E-03
600	1.682	3.31E-03
605	1.680	3.25E-03
610	1.678	3.32E-03
615	1.676	3.38E-03
620	1.675	3.63E-03
625	1.675	3.89E-03
630	1.674	4.08E-03
635	1.673	4.21E-03
640	1.672	4.30E-03
645	1.672	4.36E-03
650	1.671	4.40E-03
655	1.671	4.43E-03
660	1.670	4.45E-03
665	1.670	4.47E-03
670	1.670	4.49E-03
675	1.670	4.52E-03
680	1.670	4.37E-03
685	1.671	4.14E-03
690	1.671	3.98E-03
695	1.671	3.87E-03
700	1.671	3.79E-03
705	1.671	3.74E-03
710	1.671	3.70E-03
715	1.671	3.68E-03
720	1.671	3.68E-03
725	1.671	3.67E-03
730	1.671	3.68E-03
735	1.671	3.69E-03
740	1.671	3.70E-03
745	1.671	3.71E-03
750	1.670	3.71E-03
755	1.670	3.69E-03
760	1.670	3.65E-03
765	1.669	3.60E-03
770	1.669	3.53E-03
775	1.668	3.43E-03
780	1.668	3.31E-03
785	1.667	3.16E-03
790	1.667	2.98E-03
795	1.666	2.78E-03
800	1.666	2.55E-03
805	1.665	2.31E-03
810	1.665	2.22E-03
815	1.664	2.52E-03
820	1.664	2.74E-03
825	1.663	2.84E-03
830	1.663	2.85E-03
835	1.663	3.03E-03
840	1.662	3.24E-03
845	1.662	3.36E-03
850	1.662	3.28E-03
855	1.662	3.32E-03
860	1.662	3.43E-03
865	1.663	3.54E-03
870	1.663	3.75E-03
875	1.663	3.97E-03
880	1.664	4.33E-03
885	1.665	4.55E-03
890	1.666	4.55E-03
895	1.666	4.35E-03
900	1.666	4.26E-03
905	1.666	4.21E-03
910	1.665	3.90E-03
915	1.664	3.56E-03
920	1.663	3.31E-03
925	1.662	3.28E-03
930	1.661	3.30E-03
935	1.660	3.45E-03
940	1.659	3.37E-03
945	1.657	3.23E-03
950	1.656	3.04E-03
955	1.654	2.73E-03
960	1.652	2.66E-03
965	1.650	2.22E-03
970	1.649	2.10E-03
975	1.648	1.90E-03
980	1.647	1.83E-03
985	1.647	1.75E-03
990	1.647	1.76E-03
995	1.647	1.81E-03
1000	1.646	1.92E-03
1005	1.646	1.79E-03
1010	1.645	1.59E-03
1015	1.645	1.51E-03
1020	1.645	1.46E-03
1025	1.644	1.77E-03
1030	1.643	1.94E-03
1035	1.643	1.94E-03
1040	1.642	2.43E-03
1045	1.640	3.21E-03
1050	1.639	4.05E-03
1055	1.638	4.74E-03
1060	1.637	5.47E-03
1065	1.636	6.05E-03
1070	1.636	6.53E-03
1075	1.635	6.92E-03
1080	1.634	7.46E-03
1085	1.634	7.89E-03
1090	1.634	8.44E-03
1095	1.633	8.92E-03
1100	1.633	9.10E-03
1105	1.633	9.41E-03
1110	1.633	9.61E-03
1115	1.634	9.51E-03
1120	1.635	9.03E-03
1125	1.636	8.62E-03
1130	1.636	8.28E-03
1135	1.637	8.03E-03
1140	1.637	7.93E-03
1145	1.637	7.93E-03
1150	1.638	7.92E-03
1155	1.638	7.79E-03
1160	1.639	7.57E-03
1165	1.639	7.31E-03
1170	1.640	7.06E-03
1175	1.640	6.80E-03
1180	1.641	6.54E-03
1185	1.641	6.29E-03
1190	1.641	6.07E-03
1195	1.642	5.89E-03
1200	1.642	5.74E-03
1205	1.642	5.56E-03
1210	1.643	5.39E-03
1215	1.643	5.18E-03
1220	1.643	4.98E-03
1225	1.643	4.79E-03
1230	1.644	4.69E-03
1235	1.644	4.68E-03
1240	1.644	4.72E-03
1245	1.644	4.78E-03
1250	1.644	4.83E-03
1255	1.644	4.88E-03
1260	1.644	4.96E-03
1265	1.644	5.03E-03
1270	1.644	5.07E-03
1275	1.644	5.10E-03
1280	1.644	5.12E-03
1285	1.644	5.11E-03
1290	1.645	5.07E-03
1295	1.645	4.99E-03
1300	1.645	4.93E-03
1305	1.645	4.85E-03
1310	1.645	4.76E-03
1315	1.645	4.65E-03
1320	1.645	4.56E-03
1325	1.645	4.47E-03
1330	1.645	4.39E-03
1335	1.645	4.31E-03
1340	1.645	4.26E-03
1345	1.645	4.23E-03
1350	1.646	4.21E-03
1355	1.646	4.16E-03
1360	1.646	4.11E-03
1365	1.646	4.07E-03
1370	1.646	4.04E-03
1375	1.646	4.01E-03
1380	1.646	4.00E-03
1385	1.646	4.00E-03
1390	1.646	4.04E-03
1395	1.646	4.08E-03
1400	1.646	4.14E-03
1405	1.646	4.19E-03
1410	1.646	4.23E-03
1415	1.646	4.21E-03
1420	1.646	4.17E-03
1425	1.646	4.10E-03
1430	1.645	4.05E-03
1435	1.645	4.01E-03
1440	1.645	3.98E-03
1445	1.645	3.96E-03
1450	1.645	3.93E-03
1455	1.645	3.90E-03
