wave	n	k
270	1.712	2.67E-01
275	1.720	2.60E-01
280	1.729	2.49E-01
285	1.735	2.36E-01
290	1.737	2.22E-01
295	1.742	2.06E-01
300	1.748	1.93E-01
305	1.752	1.84E-01
310	1.756	1.74E-01
315	1.759	1.64E-01
320	1.761	1.54E-01
325	1.763	1.45E-01
330	1.764	1.36E-01
335	1.764	1.28E-01
340	1.765	1.20E-01
345	1.765	1.13E-01
350	1.766	1.07E-01
355	1.765	1.02E-01
360	1.764	9.76E-02
365	1.763	9.33E-02
370	1.760	8.88E-02
375	1.758	8.40E-02
380	1.756	7.91E-02
385	1.754	7.44E-02
390	1.753	6.99E-02
395	1.751	6.56E-02
400	1.749	6.16E-02
405	1.747	5.79E-02
410	1.746	5.44E-02
415	1.744	5.13E-02
420	1.742	4.86E-02
425	1.740	4.63E-02
430	1.737	4.33E-02
435	1.734	4.05E-02
440	1.731	3.84E-02
445	1.728	3.62E-02
450	1.726	3.41E-02
455	1.723	3.20E-02
460	1.720	3.00E-02
465	1.718	2.82E-02
470	1.716	2.65E-02
475	1.714	2.50E-02
480	1.712	2.36E-02
485	1.710	2.23E-02
490	1.709	2.09E-02
495	1.707	1.94E-02
500	1.706	1.77E-02
505	1.704	1.71E-02
510	1.703	1.64E-02
515	1.702	1.52E-02
520	1.702	1.42E-02
525	1.701	1.32E-02
530	1.699	1.24E-02
535	1.698	1.15E-02
540	1.697	1.07E-02
545	1.695	9.86E-03
550	1.694	9.07E-03
555	1.692	8.16E-03
560	1.690	7.29E-03
565	1.688	6.49E-03
570	1.687	5.75E-03
575	1.685	5.08E-03
580	1.683	4.47E-03
585	1.682	3.93E-03
590	1.680	3.46E-03
595	1.678	3.07E-03
600	1.677	2.74E-03
605	1.675	2.49E-03
610	1.674	2.28E-03
615	1.673	2.11E-03
620	1.671	2.04E-03
625	1.670	2.03E-03
630	1.669	2.17E-03
635	1.668	2.29E-03
640	1.668	2.37E-03
645	1.667	2.42E-03
650	1.666	2.36E-03
655	1.666	2.37E-03
660	1.666	2.35E-03
665	1.665	2.32E-03
670	1.665	2.26E-03
675	1.665	2.21E-03
680	1.665	2.21E-03
685	1.665	2.22E-03
690	1.665	2.25E-03
695	1.665	2.20E-03
700	1.665	2.12E-03
705	1.665	2.06E-03
710	1.665	2.01E-03
715	1.665	1.98E-03
720	1.665	1.95E-03
725	1.665	2.02E-03
730	1.665	2.01E-03
735	1.665	2.02E-03
740	1.665	2.04E-03
745	1.665	2.09E-03
750	1.664	2.13E-03
755	1.664	2.14E-03
760	1.664	2.11E-03
765	1.663	2.08E-03
770	1.663	2.04E-03
775	1.662	1.99E-03
780	1.662	1.92E-03
785	1.661	1.84E-03
790	1.661	1.73E-03
795	1.660	1.60E-03
800	1.660	1.47E-03
805	1.659	1.46E-03
810	1.659	1.33E-03
815	1.659	1.34E-03
820	1.658	1.42E-03
825	1.658	1.30E-03
830	1.657	1.21E-03
835	1.657	1.16E-03
840	1.657	1.12E-03
845	1.656	1.05E-03
850	1.656	1.03E-03
855	1.656	1.03E-03
860	1.656	1.09E-03
865	1.656	1.15E-03
870	1.656	1.27E-03
875	1.656	1.34E-03
880	1.656	1.36E-03
885	1.656	1.49E-03
890	1.657	1.55E-03
895	1.657	1.53E-03
900	1.657	1.72E-03
905	1.658	1.97E-03
910	1.657	1.92E-03
915	1.657	1.88E-03
920	1.657	2.03E-03
925	1.656	2.00E-03
930	1.655	1.95E-03
935	1.654	1.85E-03
940	1.654	1.81E-03
945	1.653	1.73E-03
950	1.652	1.66E-03
955	1.651	1.61E-03
960	1.650	1.55E-03
965	1.648	1.40E-03
970	1.647	1.27E-03
975	1.646	1.25E-03
980	1.644	1.11E-03
985	1.644	1.16E-03
990	1.643	1.16E-03
995	1.642	1.08E-03
1000	1.642	1.12E-03
1005	1.642	1.17E-03
1010	1.642	1.21E-03
1015	1.641	1.20E-03
1020	1.641	1.18E-03
1025	1.641	1.19E-03
1030	1.640	1.14E-03
1035	1.640	1.23E-03
1040	1.639	1.24E-03
1045	1.639	1.28E-03
1050	1.639	1.28E-03
1055	1.638	1.23E-03
1060	1.637	1.66E-03
1065	1.636	2.27E-03
1070	1.636	2.67E-03
1075	1.635	3.09E-03
1080	1.634	3.52E-03
1085	1.634	4.02E-03
1090	1.633	4.50E-03
1095	1.633	4.94E-03
1100	1.632	5.34E-03
1105	1.632	5.70E-03
1110	1.632	5.93E-03
1115	1.631	6.23E-03
1120	1.631	6.48E-03
1125	1.631	6.65E-03
1130	1.631	6.93E-03
1135	1.632	6.83E-03
1140	1.632	6.66E-03
1145	1.633	6.64E-03
1150	1.633	6.61E-03
1155	1.633	6.45E-03
1160	1.634	6.18E-03
1165	1.635	5.87E-03
1170	1.635	5.56E-03
1175	1.636	5.26E-03
1180	1.636	4.98E-03
1185	1.637	4.72E-03
1190	1.637	4.50E-03
1195	1.638	4.32E-03
1200	1.638	4.13E-03
1205	1.638	3.96E-03
1210	1.639	3.79E-03
1215	1.639	3.59E-03
1220	1.639	3.40E-03
1225	1.639	3.23E-03
1230	1.640	3.16E-03
1235	1.640	3.19E-03
1240	1.640	3.27E-03
1245	1.640	3.38E-03
1250	1.640	3.49E-03
1255	1.640	3.60E-03
1260	1.640	3.70E-03
1265	1.640	3.79E-03
1270	1.640	3.84E-03
1275	1.640	3.89E-03
1280	1.640	3.92E-03
1285	1.640	3.91E-03
1290	1.640	3.86E-03
1295	1.640	3.77E-03
1300	1.640	3.67E-03
1305	1.641	3.57E-03
1310	1.641	3.45E-03
1315	1.641	3.33E-03
1320	1.641	3.23E-03
1325	1.641	3.13E-03
1330	1.641	3.03E-03
1335	1.641	2.94E-03
1340	1.641	2.87E-03
1345	1.641	2.82E-03
1350	1.641	2.78E-03
1355	1.641	2.72E-03
1360	1.641	2.66E-03
1365	1.641	2.61E-03
1370	1.641	2.57E-03
1375	1.641	2.54E-03
1380	1.641	2.52E-03
1385	1.641	2.51E-03
1390	1.641	2.51E-03
1395	1.641	2.52E-03
1400	1.641	2.54E-03
1405	1.641	2.56E-03
1410	1.641	2.56E-03
1415	1.641	2.55E-03
1420	1.641	2.49E-03
1425	1.641	2.43E-03
1430	1.640	2.36E-03
1435	1.640	2.30E-03
1440	1.640	2.25E-03
1445	1.640	2.21E-03
1450	1.640	2.17E-03
1455	1.640	2.13E-03
1460	1.640	2.10E-03
1465	1.640	2.07E-03
1470	1.640	2.05E-03
1475	1.640	2.02E-03
1480	1.640	2.00E-03
1485	1.640	1.97E-03
1490	1.640	1.94E-03
1495	1.639	1.94E-03
1500	1.639	1.95E-03
1505	1.639	1.98E-03
1510	1.639	2.01E-03
1515	1.639	2.05E-03
1520	1.639	2.08E-03
1525	1.639	2.10E-03
1530	1.639	2.10E-03
1535	1.639	2.09E-03
1540	1.639	2.09E-03
1545	1.639	2.09E-03
1550	1.638	2.10E-03
1555	1.638	2.12E-03
1560	1.638	2.14E-03
1565	1.638	2.16E-03
1570	1.638	2.19E-03
1575	1.638	2.21E-03
1580	1.638	2.24E-03
1585	1.638	2.25E-03
1590	1.637	2.25E-03
1595	1.637	2.24E-03
1600	1.637	2.23E-03
1605	1.637	2.23E-03
1610	1.637	2.24E-03
1615	1.636	2.26E-03
1620	1.636	2.26E-03
1625	1.636	2.23E-03
1630	1.636	2.18E-03
1635	1.635	2.15E-03
1640	1.635	2.14E-03
1645	1.635	2.14E-03
1650	1.635	2.15E-03
1655	1.635	2.17E-03
1660	1.635	2.18E-03
1665	1.635	2.19E-03
1670	1.634	2.20E-03
1675	1.634	2.21E-03
1680	1.634	2.20E-03
1685	1.634	2.18E-03
1690	1.634	2.15E-03
1695	1.634	2.14E-03
1700	1.633	2.17E-03
1705	1.633	2.22E-03
1710	1.633	2.25E-03
1715	1.633	2.23E-03
1720	1.633	2.19E-03
1725	1.633	2.13E-03
1730	1.633	2.08E-03
1735	1.632	2.05E-03
1740	1.632	2.04E-03
1745	1.632	2.02E-03
1750	1.632	2.03E-03
1755	1.632	2.02E-03
1760	1.632	2.02E-03
1765	1.631	1.98E-03
1770	1.631	1.92E-03
1775	1.631	1.85E-03
1780	1.631	1.79E-03
1785	1.631	1.75E-03
1790	1.630	1.75E-03
1795	1.630	1.76E-03
1800	1.630	1.76E-03
1805	1.630	1.75E-03
1810	1.630	1.73E-03
1815	1.629	1.68E-03
1820	1.629	1.64E-03
1825	1.629	1.59E-03
1830	1.629	1.55E-03
1835	1.628	1.52E-03
1840	1.628	1.50E-03
1845	1.628	1.47E-03
1850	1.628	1.44E-03
1855	1.627	1.42E-03
1860	1.627	1.36E-03
1865	1.627	1.30E-03
1870	1.627	1.24E-03
1875	1.626	1.19E-03
1880	1.626	1.14E-03
1885	1.626	1.09E-03
1890	1.626	1.05E-03
1895	1.625	1.02E-03
1900	1.625	1.01E-03
1905	1.625	9.95E-04
1910	1.625	9.91E-04
1915	1.625	1.01E-03
1920	1.625	1.05E-03
1925	1.625	1.10E-03
1930	1.625	1.13E-03
1935	1.624	1.15E-03
1940	1.624	1.14E-03
1945	1.624	1.18E-03
1950	1.623	1.27E-03
